Carrier / MGA,Program/Product name,Paper,States available,Form code(s) & edition date,Specimen/wording PDF link,Product/coverage page link,Min/Max limit,Target segments,Notable features,Last verified date
Corvus,Smart Tech E&O,Not specified (MGA),Not specified,Not specified,https://www.corvusinsurance.com/hubfs/Tech%20E-O/Corvus%20-%20Smart%20Tech%20EO%20specimen.pdf,https://www.corvusinsurance.com/smart-tech-e-o-and-excess,Not specified,Technology services and software companies,"Combination of cyber insurance and tailored E&O coverage, includes all Smart Cyber Insurance policy coverage plus Technology and Professional Services Liability, eliminates finger-pointing between carriers",September 2025
Vouch,Technology Errors and Omissions Insurance,Not specified (MGA),Not specified,Not specified,Not found,https://www.vouch.us/coverages/tech-e-and-o,Not specified,Startups and technology companies,"AI Insurance add-on covers algorithmic bias and IP infringement, HealthTech and Fintech endorsements available, coverage for negligence, breach of warranty, misrepresentation, product failures, copyright of software code",September 2025
Swiss Re Corporate Solutions,Technology Liability Insurance,Not specified,Not specified,Not specified (08-24),https://corporatesolutions.swissre.com/dam/jcr:39151bac-841e-49df-b4ed-e12525243a8a/swiss-re-corporate-solutions-technology-liability-insurance-policy-wording2024.pdf,Not found,Not specified,Technology companies,"Professional Liability, Public Liability, Technology Product Liability sections, various extensions including intellectual property, defamation, emergency costs",September 2025
Liberty Mutual (Ironshore),Tech Insure,Admitted,Not specified,Not specified,Not found,https://business.libertymutual.com/commercial-solutions/professional-liability/technology-professional-liability/,"Up to $20M primary, Up to $20M excess","Software developers, cloud computing providers, website design firms, IT consultants","Combined E&O, cyber, and media liability; unintentional breach of contract coverage; copyright infringement coverage; worldwide coverage; defense costs coverage",September 2025
Nationwide E-Risk Services,"Cyber, Media and Technology Security Services (CMTS)",Admitted (41 states),Admitted in 41 states,Not specified,Not found,https://www.nationwide.com/excessandsurplus/e-risk/products/cyber-media-and-tech-security-services/,"Up to $100M in revenue for primary, over 300 classes","Small and medium businesses, technology companies, media services","Combined cyber and tech E&O, HIPAA Business Associates coverage, PCI standard violation fines, business interruption from tech breach, full limit extortion/ransomware coverage",September 2025
Nationwide E-Risk Services,Cyber and Professional Services (CAPS),Admitted (46 states),Admitted in 46 states,Not specified,Not found,https://www.nationwide.com/excessandsurplus/e-risk/products/cyber-and-professional-services/,Up to $100M in revenue,"Professional services, technology companies","Professional and media services liability, cyber information breaches, HIPAA fines up to $2M, technology fraud theft loss, system failure coverage",September 2025
Berkley Technology Underwriters,Technology Insurance,Not specified,US and worldwide,Not specified,Not found,https://www.berkley.com/business-insurance/technology,Not specified,"Technology firms with exposure in US and worldwide, federal government contractors","Technology Errors and Omissions Liability, Network Security and Data Privacy Liability, Electronic Media Liability, Global Coverages, Contingent Auto Liability",September 2025
Philadelphia Insurance (PHLY),Integrated Technology E&O and Cyber Risk,Admitted,Not specified,Form 36-12151 (09/23),https://www.phly.com/Files/Integrated%20Technology%20Error%20and%20Omissions%20and%20Cyber%20Risk%20Coverage%20Form36-12151.pdf,https://www.phly.com/mplDivision/professionalLiability/IntegratedTechnology.aspx,Not specified,"Complex multifaceted technology companies, software firms, IT services","Bell Endorsement with $50K limits for various coverages, Technology Products and Services coverage, breach of warranties coverage, copyright infringement, business interruption",September 2025
USLI,MicroTek Professional Liability Package,Admitted,All states,Not specified,https://insurance.usli.com/media/z3eete3x/hz_professional_microtek.pdf,https://customers.usli.com/sites/docs/newsletter/2021/september/Technology-Professionals.pdf,"E&O up to $5M, revenues up to $1M, 7 or fewer consultants","Smaller technology firms, artificial intelligence, SaaS, custom software developers, managed service providers","Premiums as low as $995, 50/50 hammer clause, $0 deductible on E&O, intellectual property coverage option, full prior acts available, broad definition of services",September 2025
USLI,SuperTek Technology Professional Liability,Admitted,All states,Not specified,Not found,https://customers.usli.com/sites/docs/newsletter/2021/september/Technology-Professionals.pdf,Firms with annual sales up to $15M,Small to medium-sized technology companies,"Defense costs outside the limit, broad form endorsement for network security/privacy/media liability, breach of contract coverage, loss of use coverage, regulatory defense available",September 2025
Westchester (Chubb),Digitech Enterprise Risk Management,Admitted (most states),Most states,Not specified,https://www.westchester.com/content/dam/chubb-sites/westchester/us-en/documents/westchester_2pageprofessionalriskproducts_013117.pdf,https://www.westchester.com/en/products/small-business/professional-lines/digitech-enterprise-risk-management.html,"Companies with revenues $10M+ for brokerage, up to $10M for small business","IT consulting firms, tech companies providing system integration, software design companies","Single form with Tech E&O and Cyber Liability, broadened definition of technology incident, software copyright infringement coverage, no exclusions for delays or failure to deliver",September 2025
