Carrier / MGA,Program/Product name,Paper,States available,Form code(s) & edition date,Specimen/wording PDF link,Product/coverage page link,Min/Max limit,Target segments,Notable features,Last verified date
AIG,Specialty Risk Protector (Professional Liability & Cyber),Likely non‑admitted (AIG Specialty Insurance Co.),Not specified (US & global),Not publicly listed,https://www.aig.com/content/dam/aig/america-canada/us/documents/business/management-liability/aig-specialty-risk-protector-brochure.pdf,https://www.aig.com/home/risk-solutions/business/management-and-professional-liability/professional-liability,Not specified (modular),"Businesses seeking integrated professional liability and cyber modules, including technology companies, technology services and products providers","Integrated modules for security & privacy, event management, cyber extortion, network business interruption; professional services E&O, media liability, employed lawyers E&O and ReputationGuard modules; built‑in data‑privacy regulatory coverage; expanded bricking and extortion triggers; duty‑to‑defend, pay‑on‑behalf basis; tailored professional services definitions including technology services; extends to economic losses, flexibility to settle claims within retention without insurer consent",2025-09-17
Coalition,Active Cyber Insurance + Technology E&O endorsement,"Surplus lines via partner carriers (e.g., Zurich, Swiss Re, Allianz)",Not specified (US & international),Not publicly listed,https://brooksbraithwaite.com/wp-content/uploads/2025/07/Coalition-UK-Cyber-and-Technology-policy-3.0.pdf,https://www.coalitioninc.com/technology-errors-and-omissions-insurance,Indemnity limits from $25k to $20m,Small and medium technology organisations including SaaS providers and consultants,"Comprehensive cyber insurance program including technology E&O; offers excess cyber coverage up to $20m; broad appetite from sole‑traders to companies with $2B turnover; includes personalized risk assessment reports, free cybersecurity software and broker platform; includes access to cyber specialists for pre‑breach and post‑breach services; Active Errors & Omissions insurance, combined with market-leading Active Cyber Insurance, access to Coalition Control platform",2025-09-17
At‑Bay,Technology E&O (part of Active Cyber Insurance),Surplus lines (non‑admitted),Not specified (US),Not publicly listed,https://www.at-bay.com/wp-content/uploads/2023/09/AB-TEO-SAP_Technology-Cyber-Insurance-Short-Application-_ED.08.2023.pdf,https://www.at-bay.com/insurance/tech-eo/,Up to $10m for companies up to $5B revenue,"Software companies, IT consultants, fintechs and other tech‑enabled businesses (excluding gambling, cannabis or adult entertainment), hardware, service providers, technology consulting firms, value-added resellers, digital marketing firms","Expanded breach‑of‑contract coverage with no exclusions for warranties/guarantees or consequential damages; broad IP infringement coverage (trade secrets, cybersquatting, deep‑linking, source‑code license); coverage for service credits as damages, personal injury (defamation, malicious prosecution, wrongful eviction, false imprisonment); comprehensive negligence coverage (improper installations, coding errors, data processing flaws, failed implementations, network outages); contractual indemnity coverage; risk monitoring services and security analytics; service credits included in damages definition",2025-09-17
Corvus,Smart Tech E&O,Surplus lines via Core Specialty (excess line),Not specified (US),Not publicly listed,https://www.corvusinsurance.com/hubfs/Tech%20E-O/Corvus%20-%20Smart%20Tech%20EO%20specimen.pdf,https://www.corvusinsurance.com/smart-tech-e-o-and-excess,Excess limit up to $5m for companies up to $500m revenue,Technology companies seeking excess E&O and cyber coverage,"Smart Tech E&O program pairs technology E&O with cyber coverage; uses AI‑driven risk scans and predictive analytics; provides full suite of cyber coverages; capacity up to $5m; partners with carriers such as Core Specialty to provide underlying paper; combination of cyber insurance and tailored E&O coverage, includes all Smart Cyber Insurance policy coverage plus Technology and Professional Services Liability, eliminates finger-pointing between carriers",2025-09-17
Vouch,Cyber & Technology Errors & Omissions,"Admitted (Vouch Insurance, a risk retention group)",Select US states (startup‑focused),Not publicly listed,https://www.vouch.us/insurance101/what-should-my-errors-and-omissions-insurance-policy-cover,https://www.vouch.us/coverages/tech-e-and-o,Not specified (digital quote),VC‑backed startups and tech companies,"Integrated coverage for professional mistakes (coding errors, missed deadlines, contractual breaches) and cyber incidents (network security failures, data breaches); digital quoting and online servicing; emphasises difference between technology E&O and cyber insurance; targeted to startups; details behind login; AI Insurance add-on covers algorithmic bias and IP infringement, HealthTech and Fintech endorsements available, coverage for negligence, breach of warranty, misrepresentation, product failures, copyright of software code",2025-09-17
Embroker,Tech E&O / Cyber (with Everspan),Surplus lines (Everspan Indemnity Company),Not specified (US),Not publicly listed,https://ess.embroker.com/wp-content/uploads/2024/06/Access_Tech-EO_Cyber_Sell-Sheet_May-2024.pdf,https://www.embroker.com/coverage/tech-errors-omissions/,Up to $5m (retentions starting at $5k),"Private companies with revenues up to $300m, including tech startups, software developers, IT consultants and service providers","Comprehensive protection against technology liabilities and data‑related risks; covers product mistakes, unmet contractual obligations, professional negligence, defects/errors in software or hardware, and product launch delays; express breach‑of‑contract and liability assumed under contract; software code infringement coverage; war/hostile actions carve‑back; full policy limits for system damage, regulatory actions (including GDPR/CCPA), PCI fines, cyber extortion, business income and dependent business income; sublimits for reputational harm ($1m), social engineering ($500k), telecommunications fraud ($1m) and bricking ($500k + $100k betterment); duty‑to‑defend form, full prior acts, worldwide coverage",2025-09-17
Swiss Re Corporate Solutions,Technology Liability Insurance,Not specified,Not specified,Not specified (08-24),https://corporatesolutions.swissre.com/dam/jcr:39151bac-841e-49df-b4ed-e12525243a8a/swiss-re-corporate-solutions-technology-liability-insurance-policy-wording2024.pdf,Not found,Not specified,Technology companies,"Professional Liability, Public Liability, Technology Product Liability sections, various extensions including intellectual property, defamation, emergency costs",September 2025
Liberty Mutual (Ironshore),Tech Insure,Admitted,Not specified,Not specified,Not found — specimen wording not public; request via Liberty/Ironshore portal,https://business.libertymutual.com/commercial-solutions/professional-liability/technology-professional-liability/,"Up to $20M primary, Up to $20M excess","Software developers, cloud computing providers, website design firms, IT consultants","Combined E&O, cyber, and media liability; unintentional breach of contract coverage; copyright infringement coverage; worldwide coverage; defense costs coverage",September 2025
Nationwide E-Risk Services,"Cyber, Media and Technology Security Services (CMTS)",Admitted (41 states),Admitted in 41 states,Not specified,Not found — specimen wording agent-gated; request via Nationwide E-Risk,https://www.nationwide.com/excessandsurplus/e-risk/products/cyber-media-and-tech-security-services/,"Up to $100M in revenue for primary, over 300 classes","Small and medium businesses, technology companies, media services","Combined cyber and tech E&O, HIPAA Business Associates coverage, PCI standard violation fines, business interruption from tech breach, full limit extortion/ransomware coverage",September 2025
Nationwide E-Risk Services,Cyber and Professional Services (CAPS),Admitted (46 states),Admitted in 46 states,Not specified,Not found — specimen wording agent-gated; request via Nationwide E-Risk,https://www.nationwide.com/excessandsurplus/e-risk/products/cyber-and-professional-services/,Up to $100M in revenue,"Professional services, technology companies","Professional and media services liability, cyber information breaches, HIPAA fines up to $2M, technology fraud theft loss, system failure coverage",September 2025
Berkley Technology Underwriters,Technology Insurance,Not specified,US and worldwide,Not specified,Not found — specimen wording not public; request via BTU underwriting,https://www.berkley.com/business-insurance/technology,Not specified,"Technology firms with exposure in US and worldwide, federal government contractors","Technology Errors and Omissions Liability, Network Security and Data Privacy Liability, Electronic Media Liability, Global Coverages, Contingent Auto Liability",September 2025
Philadelphia Insurance (PHLY),Integrated Technology E&O and Cyber Risk,Admitted,Not specified,Form 36-12151 (09/23),https://www.phly.com/Files/Integrated%20Technology%20Error%20and%20Omissions%20and%20Cyber%20Risk%20Coverage%20Form36-12151.pdf,https://www.phly.com/mplDivision/professionalLiability/IntegratedTechnology.aspx,Not specified,"Complex multifaceted technology companies, software firms, IT services","Bell Endorsement with $50K limits for various coverages, Technology Products and Services coverage, breach of warranties coverage, copyright infringement, business interruption",September 2025
USLI,MicroTek Professional Liability Package,Admitted,All states,Not specified,https://insurance.usli.com/media/z3eete3x/hz_professional_microtek.pdf,https://customers.usli.com/sites/docs/newsletter/2021/september/Technology-Professionals.pdf,"E&O up to $5M, revenues up to $1M, 7 or fewer consultants","Smaller technology firms, artificial intelligence, SaaS, custom software developers, managed service providers","Premiums as low as $995, 50/50 hammer clause, $0 deductible on E&O, intellectual property coverage option, full prior acts available, broad definition of services",September 2025
USLI,SuperTek Technology Professional Liability,Admitted,All states,Not specified,Not found — specimen wording not public; request via USLI MyUSLI,https://customers.usli.com/sites/docs/newsletter/2021/september/Technology-Professionals.pdf,Firms with annual sales up to $15M,Small to medium-sized technology companies,"Defense costs outside the limit, broad form endorsement for network security/privacy/media liability, breach of contract coverage, loss of use coverage, regulatory defense available",September 2025
Westchester (Chubb),Digitech Enterprise Risk Management,Admitted (most states),Most states,Not specified,https://www.westchester.com/content/dam/chubb-sites/westchester/us-en/documents/westchester_2pageprofessionalriskproducts_013117.pdf,https://www.westchester.com/en/products/small-business/professional-lines/digitech-enterprise-risk-management.html,"Companies with revenues $10M+ for brokerage, up to $10M for small business","IT consulting firms, tech companies providing system integration, software design companies","Single form with Tech E&O and Cyber Liability, broadened definition of technology incident, software copyright infringement coverage, no exclusions for delays or failure to deliver",September 2025
